row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,days_to_ship,profit_margin
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384,5,0.325
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0.0,5.0596,4,0.26
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0.0,15.6884,4,0.26
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,2,-0.0143
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0.0,240.2649,5,0.23
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,4,0.3625
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0.0,11.7741,4,0.13
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,4,-0.54
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532,4,-0.7333
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525,4,0.125
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016,4,0.3375
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092,4,0.1125
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715,4,-0.8333
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546,4,0.225
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468,4,0.3375
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737,2,0.1125
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963,2,-0.775
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415,4,0.3125
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764,4,-0.0882
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147,4,-0.0714
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564,4,0.1125
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564,5,0.1125
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0.0,3.894,5,0.05
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616,4,0.1
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,TEC-AC-10000171,45.98,2,0.0,19.7714,2,0.43
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,OFF-BI-10003291,17.46,2,0.0,8.2062,2,0.47
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0.0,8.4784,5,0.04
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-AC-10002167,45.0,3,0.0,4.95,5,0.11
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0.0,6.104,5,0.28
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0.0,17.9634,4,0.47
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0.0,35.3346,4,0.47
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0.0,2.9568,4,0.48
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0.0,17.0981,4,0.19
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0.0,6.2566,6,0.41
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0.0,298.6855,6,0.29
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-ST-10000604,208.56,6,0.0,52.14,1,0.25
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10001569,32.4,5,0.0,15.552,1,0.48
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098,1,0.0222
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10000587,14.56,2,0.0,6.9888,1,0.48
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,TEC-AC-10002167,30.0,2,0.0,3.3,1,0.11
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362,1,0.3375
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-AR-10001868,1.68,1,0.0,0.84,1,0.5
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0.0,6.1512,6,0.44
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612,6,0.3625
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0.0,68.9631,6,0.47
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0.0,22.3328,6,0.28
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225,5,-0.0714
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024,5,0.1
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988,5,0.375
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,OFF-PA-10000482,75.88,2,0.0,35.6636,2,0.47
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731,5,0.375
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0.0,8.763,3,0.46
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912,6,-0.1375
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213,6,0.0125
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196,6,-0.25
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344,2,-1.55
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248,2,-0.6
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724,2,0.1
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475,5,-0.75
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-AP-10002118,208.16,1,0.0,56.2032,3,0.27
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-BI-10002309,16.74,3,0.0,8.0352,3,0.48
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0.0,4.172,4,0.28
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0.0,6.2031,4,0.29
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075,5,0.3125
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549,3,-0.2125
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0.0,33.2156,2,0.11
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0.0,6.7966,7,0.34
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0.0,2.9568,7,0.48
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572,5,0.0875
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0.0,6.633,5,0.33
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782,5,0.1125
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-PA-10000304,6.48,1,0.0,3.1104,5,0.48
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0.0,6.2208,5,0.48
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0.0,16.5354,5,0.31
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0.0,16.1504,5,0.49
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.788,6,-0.6667
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,FUR-FU-10000629,96.53,7,0.0,40.5426,2,0.42
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,OFF-BI-10001721,51.312,3,0.2,17.9592,3,0.35
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,0.0,22.5852,5,0.29
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-PA-10003256,64.624,7,0.2,22.6184,4,0.35
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,TEC-AC-10001767,95.976,3,0.2,-10.7973,4,-0.1125
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-BI-10002609,1.788,3,0.8,-3.0396,4,-1.7
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,OFF-PA-10004040,23.92,4,0.0,11.7208,3,0.49
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758,4,-0.1125
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.8385,4,-0.0375
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,OFF-BI-10002794,36.882,3,0.7,-25.8174,4,-0.7
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-AC-10003499,74.112,8,0.2,17.6016,5,0.2375
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-PH-10002844,27.992,1,0.2,2.0994,5,0.075
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,OFF-AR-10000390,3.304,1,0.2,1.0738,5,0.325
110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992,5,0.2
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,FUR-FU-10001934,41.96,2,0.0,10.9096,5,0.26
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-AR-10000380,75.96,2,0.0,22.788,7,0.3
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-BI-10003981,27.24,6,0.0,13.3476,7,0.49
114,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-FA-10000621,40.096,14,0.2,14.5348,2,0.3625
115,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.652,2,0.35
116,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-PA-10004965,23.976,3,0.2,7.4925,2,0.3125
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-EN-10002504,130.464,6,0.2,44.0316,2,0.3375
118,CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,FUR-TA-10001768,787.53,3,0.0,165.3813,4,0.21
119,US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,OFF-BI-10003650,157.794,1,0.7,-115.7156,5,-0.7333
120,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,FUR-FU-10002157,47.04,3,0.0,18.3456,3,0.39
121,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-BI-10003910,30.84,4,0.0,13.878,3,0.45
122,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-ST-10000777,226.56,6,0.0,63.4368,3,0.28
123,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-EN-10002500,115.02,9,0.0,51.759,3,0.45
124,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,TEC-PH-10003875,68.04,7,0.0,19.7316,3,0.29
125,US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794,2,-0.0143
126,US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682,5,-0.66
127,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,OFF-BI-10003274,2.388,2,0.7,-1.8308,7,-0.7667
128,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,OFF-ST-10002974,243.992,7,0.2,30.499,7,0.125
129,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,FUR-CH-10001146,81.424,2,0.2,-9.1602,4,-0.1125
130,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,FUR-FU-10003773,238.56,3,0.0,26.2416,4,0.11
131,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,TEC-PH-10002293,59.97,5,0.4,-11.994,3,-0.2
132,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,OFF-PA-10002377,78.304,2,0.2,29.364,3,0.375
133,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,OFF-FA-10002780,21.456,9,0.2,6.9732,3,0.325
134,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-PA-10001804,20.04,3,0.0,9.6192,6,0.48
135,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-PA-10001736,35.44,1,0.0,16.6568,6,0.47
136,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-AR-10001149,11.52,4,0.0,3.456,6,0.3
137,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-FA-10002988,4.02,2,0.0,1.9698,6,0.49
138,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-BI-10004781,76.176,3,0.2,26.6616,6,0.35
139,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-SU-10001218,65.88,6,0.0,18.4464,6,0.28
140,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,FUR-FU-10001706,43.12,14,0.0,20.6976,6,0.48
141,CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,FUR-FU-10004848,82.8,2,0.2,10.35,2,0.125
142,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,OFF-AR-10000940,8.82,3,0.0,2.3814,5,0.27
143,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,OFF-EN-10004030,10.86,3,0.0,5.1042,5,0.47
144,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,OFF-PA-10004327,143.7,3,0.0,68.976,5,0.48
145,CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,OFF-AP-10001058,839.43,3,0.0,218.2518,5,0.26
146,CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,OFF-ST-10003656,671.93,7,0.0,20.1579,5,0.03
147,CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,FUR-FU-10000521,93.888,4,0.2,12.9096,6,0.1375
148,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,TEC-PH-10000215,384.45,11,0.0,103.8015,4,0.27
149,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,TEC-PH-10001448,149.97,3,0.0,5.9988,4,0.04
150,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,FUR-CH-10000454,1951.84,8,0.0,585.552,4,0.3
151,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,OFF-BI-10002735,171.55,5,0.0,80.6285,4,0.47
152,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,OFF-AP-10000326,157.92,5,0.2,17.766,3,0.1125
153,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,TEC-PH-10001254,203.184,2,0.2,15.2388,3,0.075
154,CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,OFF-PA-10001950,58.38,7,0.0,26.271,2,0.45
155,CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,OFF-PA-10002254,105.52,4,0.0,48.5392,2,0.46
156,CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,OFF-ST-10001590,80.88,6,0.0,21.0288,2,0.26
157,CA-2015-118948,2015-05-28,2015-06-03,Standard Class,NK-18490,OFF-AR-10001547,6.63,3,0.0,1.7901,6,0.27
158,CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764,5,0.1125
159,CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,OFF-LA-10002475,14.62,2,0.0,6.8714,4,0.47
160,CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,TEC-PH-10004536,944.93,7,0.0,236.2325,4,0.25
161,CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,OFF-PA-10002751,5.98,1,0.0,2.691,1,0.45
162,CA-2015-119697,2015-12-28,2015-12-31,Second Class,EM-13960,TEC-AC-10003657,54.384,2,0.2,1.3596,3,0.025
163,CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,OFF-EN-10001990,28.4,5,0.0,13.348,4,0.47
164,CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,OFF-BI-10004002,27.68,2,0.2,9.688,4,0.35
165,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,OFF-AR-10004441,9.936,3,0.2,2.7324,4,0.275
166,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992,4,-0.1667
167,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,OFF-ST-10000991,275.928,3,0.2,-58.6347,4,-0.2125
168,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.858,4,-0.0143
169,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,OFF-AR-10002656,32.064,6,0.2,6.8136,4,0.2125
170,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.849,4,-2.55
171,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,TEC-PH-10003931,143.976,3,0.2,8.9985,4,0.0625
172,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0.0,9.8418,4,0.47
173,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,OFF-PA-10001144,110.96,2,0.0,53.2608,4,0.48
174,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259,4,0.0625
175,US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,OFF-AP-10000891,52.448,2,0.8,-131.12,5,-2.5
176,US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.552,5,0.325
177,US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,OFF-AP-10002684,97.264,4,0.8,-243.16,4,-2.5
178,US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,FUR-CH-10004698,396.802,7,0.3,-11.3372,2,-0.0286
179,US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.7715,2,-0.2375
180,CA-2015-137225,2015-12-15,2015-12-19,Standard Class,JK-15640,OFF-AR-10001940,3.28,1,0.0,1.4104,4,0.43
181,CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,OFF-ST-10003455,24.816,2,0.2,1.8612,4,0.075
182,CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395,4,0.1875
183,CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,TEC-PH-10003273,503.96,4,0.0,131.0296,5,0.26
184,CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,TEC-PH-10004896,149.95,5,0.0,41.986,5,0.28
185,CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,TEC-AC-10002345,29.0,2,0.0,7.25,5,0.25
186,CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,OFF-BI-10001890,7.16,2,0.0,3.4368,4,0.48
187,CA-2014-123260,2014-08-26,2014-08-30,Standard Class,FM-14290,TEC-AC-10002323,176.8,8,0.0,22.984,4,0.13
188,CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,OFF-ST-10001328,37.224,3,0.2,3.7224,6,0.1
189,CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,OFF-PA-10001950,20.016,3,0.2,6.255,6,0.3125
190,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392,2,0.125
191,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,TEC-PH-10001552,71.76,6,0.0,20.0928,2,0.28
192,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,OFF-PA-10000061,51.84,8,0.0,24.8832,2,0.48
193,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,FUR-BO-10002545,626.352,3,0.2,46.9764,2,0.075
194,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,OFF-AR-10003514,19.9,5,0.0,6.567,2,0.33
195,CA-2015-131457,2015-10-31,2015-11-06,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7,0.0,6.7116,6,0.47
196,CA-2014-140004,2014-03-21,2014-03-25,Standard Class,CB-12025,OFF-AR-10004685,7.408,2,0.2,1.2038,4,0.1625
197,CA-2014-140004,2014-03-21,2014-03-25,Standard Class,CB-12025,OFF-AR-10004027,6.048,3,0.2,1.5876,4,0.2625
198,CA-2017-107720,2017-11-06,2017-11-13,Standard Class,VM-21685,OFF-ST-10001414,46.26,3,0.0,12.0276,7,0.26
199,US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,OFF-BI-10000343,2.946,2,0.7,-2.2586,7,-0.7667
200,US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,OFF-PA-10002749,16.056,3,0.2,5.8203,7,0.3625
201,CA-2017-105074,2017-06-24,2017-06-29,Standard Class,MB-17305,OFF-PA-10002666,21.744,3,0.2,6.795,5,0.3125
202,CA-2014-133690,2014-08-03,2014-08-05,First Class,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.875,2,-0.74
